"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_ID","gene_ID2","X2","peak_cluster","order_y","tag","order2","segment","gene_ID.y"
885.2686424195313,8.571991494104152,0.9540646013064416,8.984707620811166,2.5942312830358227e-19,1.0446969376785259e-15,"CRO_05G028660.2","CRO-05G028660.2","UDP-Glycosyltransferase superfamily protein","8",14,NA,NA,NA,NA
51.94938552059572,8.37028026672059,1.6422643198411402,5.096792377204094,3.4545684788716205e-7,1.5704082086566816e-4,"CRO_02G020830.5","CRO-02G020830.5","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","8",14,NA,NA,NA,NA
13.31231404716479,8.035286427908217,1.2640771797796333,6.35664226555297,2.0621146149470983e-10,1.977175131998087e-7,"CRO_01G009210.1","CRO-01G009210.1","hypothetical protein","8",14,NA,NA,NA,NA
836.9396620542835,7.39539216788858,0.8592500066293866,8.606799081560409,7.51289604113896e-18,2.5212026964722164e-14,"CRO_07G009960.3","CRO-07G009960.3","purine permease","8",14,NA,NA,NA,NA
124.4821244795809,7.175748727504198,1.1109094941240192,6.459345937233582,1.0515647932416033e-10,1.1387987654996723e-7,"CRO_02G027680.1","CRO-02G027680.1","MATE efflux family protein","8",14,NA,NA,NA,NA
13798.032659269753,6.853583444596171,0.5411203174407511,12.665544470794318,9.17813423737657e-37,1.8480173286957722e-32,"CRO_02G002580.1","CRO-02G002580.1","myb domain protein","8",14,NA,NA,NA,NA
1425.2426550077357,6.697269098514271,0.7394735814528034,9.056806445142383,1.343256696813254e-19,6.761618397583718e-16,"CRO_05G033630.1","CRO-05G033630.1","UDP-Glycosyltransferase superfamily protein","8",14,NA,NA,NA,NA
21.664194927171824,6.63059111045466,1.9070986803759822,3.476794975888425,5.074456927909537e-4,0.04561347778725827,"CRO_05G004760.1","CRO-05G004760.1","hypothetical protein","8",14,NA,NA,NA,NA
283.84217060523935,5.854079394819736,0.6963987210343968,8.406217900751413,4.234441045625705e-17,1.2180067207667655e-13,"CRO_06G013360.2","CRO-06G013360.2","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","8",14,"D4H",39,"Late Alkaloid","CRO-06G013360.2"
121.86649292784801,5.845985367603491,0.6359014904611173,9.193224823807752,3.812371220007904e-20,3.8381047257429574e-16,"CRO_01G005870.1","CRO-01G005870.1","TRICHOME BIREFRINGENCE-LIKE","8",14,NA,NA,NA,NA
